,Country
0,Tunisia
1,Nauru
2,San Marino
3,Italy
4,Iceland
5,Norway
6,Myanmar
7,Australia
8,Grenada
9,Ghana
10,Qatar
11,Burundi
12,Egypt
13,Bosnia and Herzegovina
14,Barbados
15,Spain
16,Palestinian Territory
17,Afghanistan
18,British Indian Ocean Territory (Chagos Archipelago)
19,Russian Federation
20,Cameroon
21,Cameroon
22,Burundi
23,Korea
24,Tokelau
25,Monaco
26,Tuvalu
27,Greece
28,British Virgin Islands
29,Bouvet Island (Bouvetoya)
30,Peru
31,Aruba
32,Maldives
33,Senegal
34,Dominica
35,Luxembourg
36,Montenegro
37,Ukraine
38,Saint Helena
39,Liberia
40,Russian Federation
41,Tunisia
42,Turkmenistan
43,Saint Helena
44,Niger
45,Turkmenistan
46,Qatar
47,Sri Lanka
48,Trinidad and Tobago
49,Italy
50,British Virgin Islands
51,United Kingdom
52,Guinea-Bissau
53,Micronesia
54,Turkey
55,Croatia
56,Israel
57,Svalbard & Jan Mayen Islands
58,Azerbaijan
59,Iran
60,Burundi
61,Saint Vincent and the Grenadines
62,Burundi
63,Bulgaria
64,Christmas Island
65,Canada
66,Rwanda
67,Turks and Caicos Islands
68,Tunisia
69,Norfolk Island
70,Bouvet Island (Bouvetoya)
71,Turks and Caicos Islands
72,Cook Islands
73,Turkey
74,Guatemala
75,Cote d'Ivoire
76,Faroe Islands
77,Qatar
78,Ireland
79,Ukraine
80,Moldova
81,Nicaragua
82,Montserrat
83,Timor-Leste
84,Bouvet Island (Bouvetoya)
85,Puerto Rico
86,Central African Republic
87,Venezuela
88,Australia
89,Wallis and Futuna
90,Jersey
91,Puerto Rico
92,Samoa
93,Greece
94,Antarctica (the territory South of 60 deg S)
95,Albania
96,Hong Kong
97,Lithuania
98,Egypt
99,Bangladesh
100,Western Sahara
101,Serbia
102,Maldives
103,Czech Republic
104,Guernsey
105,Tanzania
106,Bhutan
107,Christmas Island
108,Guinea
109,Micronesia
110,Madagascar
111,Lebanon
112,Eritrea
113,Guyana
114,Trinidad and Tobago
115,Jersey
116,United Arab Emirates
117,Martinique
118,Somalia
119,Bhutan
120,Greece
121,Benin
122,Papua New Guinea
123,Uzbekistan
124,South Africa
