,0
0,Egypt
1,Palestinian Territory
2,British Indian Ocean Territory (Chagos Archipelago)
3,Korea
4,Tokelau
5,Bouvet Island (Bouvetoya)
6,Saint Helena
7,Saint Helena
8,Micronesia
9,Svalbard & Jan Mayen Islands
10,Iran
11,Saint Vincent and the Grenadines
12,Christmas Island
13,Norfolk Island
14,Bouvet Island (Bouvetoya)
15,Cook Islands
16,Montserrat
17,Bouvet Island (Bouvetoya)
18,Venezuela
19,Wallis and Futuna
20,Jersey
21,Antarctica (the territory South of 60 deg S)
22,Hong Kong
23,Egypt
24,Western Sahara
25,Guernsey
26,Christmas Island
27,Micronesia
28,Jersey
29,Martinique
30,Egypt
31,Falkland Islands (Malvinas)
32,Jersey
33,Saint Martin
34,United States Minor Outlying Islands
35,Antarctica (the territory South of 60 deg S)
36,Saint Vincent and the Grenadines
37,Holy See (Vatican City State)
38,Korea
39,Saint Helena
40,Korea
41,Svalbard & Jan Mayen Islands
42,Bouvet Island (Bouvetoya)
43,Mayotte
44,Bahamas
45,Bouvet Island (Bouvetoya)
46,Taiwan
47,Saint Pierre and Miquelon
48,Martinique
49,Micronesia
50,French Southern Territories
51,Guernsey
52,Venezuela
53,French Southern Territories
54,Christmas Island
55,Guadeloupe
56,French Guiana
57,Saint Pierre and Miquelon
58,French Southern Territories
59,Taiwan
60,United States of America
61,Macedonia
62,Wallis and Futuna
63,Holy See (Vatican City State)
64,Mayotte
65,Saint Pierre and Miquelon
66,Taiwan
67,Saint Lucia
68,Niue
69,French Southern Territories
70,Congo
71,United States of America
72,Pitcairn Islands
73,Anguilla
74,Martinique
75,Falkland Islands (Malvinas)
76,Falkland Islands (Malvinas)
77,Hong Kong
78,Gambia
79,Libyan Arab Jamahiriya
80,Saint Barthelemy
81,Reunion
82,Svalbard & Jan Mayen Islands
83,United States Minor Outlying Islands
84,Anguilla
85,Swaziland
86,Saint Kitts and Nevis
87,Anguilla
88,Taiwan
89,Heard Island and McDonald Islands
90,Bahamas
91,Netherlands Antilles
92,Libyan Arab Jamahiriya
93,French Guiana
94,Congo
95,Cook Islands
96,Congo
97,Niue
98,Egypt
99,United States of America
100,Christmas Island
101,Micronesia
102,Lao People's Democratic Republic
103,Saint Vincent and the Grenadines
104,Cook Islands
105,Heard Island and McDonald Islands
106,Western Sahara
107,Lao People's Democratic Republic
108,United States of America
109,Netherlands Antilles
110,Guernsey
111,Holy See (Vatican City State)
112,Macao
113,United States Virgin Islands
114,Gambia
115,Norfolk Island
116,Western Sahara
117,Western Sahara
118,Libyan Arab Jamahiriya
119,Venezuela
120,Christmas Island
121,Bahamas
122,Western Sahara
123,Venezuela
124,Yemen
125,United States Virgin Islands
126,French Guiana
127,Saint Pierre and Miquelon
128,Taiwan
129,Micronesia
130,Iran
131,Libyan Arab Jamahiriya
132,Saint Vincent and the Grenadines
133,Falkland Islands (Malvinas)
134,Jersey
135,Micronesia
136,Micronesia
137,Bahamas
138,Cape Verde
139,Venezuela
140,Wallis and Futuna
141,Saint Martin
142,Netherlands Antilles
143,Lao People's Democratic Republic
144,Netherlands Antilles
145,Reunion
146,Bahamas
147,Tokelau
148,French Guiana
149,Martinique
150,Antarctica (the territory South of 60 deg S)
151,Western Sahara
152,Hong Kong
153,Saint Helena
154,Christmas Island
155,Congo
156,Pitcairn Islands
157,Slovakia (Slovak Republic)
158,United States Virgin Islands
159,Norfolk Island
160,Niue
161,United States Minor Outlying Islands
162,French Southern Territories
163,Saint Vincent and the Grenadines
164,Bahamas
165,Svalbard & Jan Mayen Islands
166,Korea
167,South Georgia and the South Sandwich Islands
168,Anguilla
169,Saint Martin
170,Venezuela
171,South Georgia and the South Sandwich Islands
172,Tokelau
173,Mayotte
174,Jersey
175,Saint Helena
176,United States Minor Outlying Islands
177,Iran
178,Iran
179,Hong Kong
180,United States Virgin Islands
181,Western Sahara
182,Saint Vincent and the Grenadines
183,United States of America
184,Swaziland
185,Wallis and Futuna
186,Saint Martin
187,Svalbard & Jan Mayen Islands
188,Jersey
189,Palestinian Territory
190,Micronesia
191,Hong Kong
192,Slovakia (Slovak Republic)
193,Anguilla
194,Egypt
195,Anguilla
196,Yemen
197,Tokelau
198,Saint Lucia
199,Mayotte
200,Macao
201,Mayotte
202,Guadeloupe
203,Netherlands Antilles
204,Taiwan
205,Taiwan
206,Macao
207,Venezuela
208,Norfolk Island
209,Macedonia
210,Heard Island and McDonald Islands
211,Korea
212,Lao People's Democratic Republic
213,Bahamas
214,Saint Barthelemy
215,Palestinian Territory
216,Svalbard & Jan Mayen Islands
217,Iran
218,Netherlands Antilles
219,Hong Kong
220,Norfolk Island
221,Yemen
222,Saint Pierre and Miquelon
223,Mayotte
